0,5,8,6,1,5,1,7,8,1,0.9731
9,3,7,8,2,7,5,10,4,6,0.9995
8,10,5,10,2,9,3,5,5,8,0.9647
1,7,1,1,5,2,4,3,9,1,0.6354
4,3,3,8,10,8,4,9,2,4,0.7913
3,4,6,9,6,1,6,4,10,3,0.8821
6,6,9,5,8,1,9,9,4,2,0.8339
2,5,1,4,7,3,2,2,1,4,0.8130999999999999
9,8,3,7,5,5,6,6,9,7,0.9941
8,9,6,3,7,6,5,0,5,6,0.9701
7,4,4,7,3,7,7,2,6,5,0.9904
1,1,4,3,4,6,8,1,3,7,0.9924
5,7,5,1,0,9,1,1,3,9,1.0
10,6,8,4,9,0,7,8,2,2,0.8959
2,1,2,5,1,2,3,8,7,8,0.9984
6,2,0,2,9,8,10,3,1,9,0.9369
4,8,10,9,8,4,8,6,7,10,0.997
5,9,7,0,6,10,2,4,6,5,0.9725
7,0,9,2,4,3,9,7,0,0,0.8961
3,2,2,6,3,4,0,5,8,3,0.9893
0,9,0,0,5,0,0,0,8,0,0.5923
0,10,0,0,9,0,10,0,10,0,1.0426
10,9,0,0,4,0,10,10,1,0,0.5514
0,10,0,0,3,0,0,0,10,0,0.5327
10,10,10,2,4,0,0,0,10,0,0.9134
0,0,0,0,4,10,0,0,0,0,0.5892999999999999
0,0,0,0,4,0,10,0,10,0,1.062
0,10,0,10,10,10,7,10,6,0,0.7382
0,10,0,10,0,0,2,0,10,0,0.6689
0,0,0,0,10,0,10,10,0,2,0.5734
10,10,0,0,0,0,2,0,7,0,0.859
5,10,0,0,10,10,10,10,10,0,0.6745
9,0,0,0,10,0,10,10,0,4,0.6086
0,10,0,0,10,0,4,5,0,0,0.5688
0,10,0,0,0,0,10,10,0,10,1.0029
6,0,0,0,10,0,8,10,0,1,0.562
10,0,0,10,10,0,10,10,0,1,0.7047
0,0,0,0,0,0,7,10,0,0,0.48109999999999997
0,10,0,0,10,0,5,10,10,0,0.5742
0,10,0,0,0,0,8,10,0,0,0.5808
0,0,0,0,0,0,6,10,0,2,0.7907
0,0,0,0,10,0,1,0,10,0,0.7322
6,0,0,0,4,0,5,10,0,0,0.5237
0,0,0,0,4,0,3,6,0,0,0.6139
10,0,0,0,0,0,8,10,10,0,0.4878
6,0,0,0,0,10,10,10,0,0,0.6116999999999999
4,0,0,0,4,0,8,10,10,0,0.5274
10,10,0,0,0,0,6,10,0,0,0.5039
