0,5,8,6,1,5,1,7,8,1,0.9614
9,3,7,8,2,7,5,10,4,6,1.0004
8,10,5,10,2,9,3,5,5,8,0.9703
1,7,1,1,5,2,4,3,9,1,0.65
4,3,3,8,10,8,4,9,2,4,0.7959
3,4,6,9,6,1,6,4,10,3,0.8835999999999999
6,6,9,5,8,1,9,9,4,2,0.8531
2,5,1,4,7,3,2,2,1,4,0.8167
9,8,3,7,5,5,6,6,9,7,0.995
8,9,6,3,7,6,5,0,5,6,0.9674
7,4,4,7,3,7,7,2,6,5,0.9895
1,1,4,3,4,6,8,1,3,7,0.9914
5,7,5,1,0,9,1,1,3,9,0.9994
10,6,8,4,9,0,7,8,2,2,0.8963
2,1,2,5,1,2,3,8,7,8,0.9997
6,2,0,2,9,8,10,3,1,9,0.942
4,8,10,9,8,4,8,6,7,10,0.9958
5,9,7,0,6,10,2,4,6,5,0.9699
7,0,9,2,4,3,9,7,0,0,0.9031
3,2,2,6,3,4,0,5,8,3,0.9907
0,8,0,0,8,1,10,1,8,0,0.9994000000000001
3,0,0,10,0,2,3,6,0,0,0.6903
4,8,0,9,3,1,5,3,2,0,0.6709
4,9,4,5,9,8,4,5,8,0,0.8252
0,1,0,9,1,6,4,0,3,2,0.9321
0,7,0,5,7,0,3,8,0,0,0.6181000000000001
2,9,0,10,10,2,4,5,0,0,0.7176
6,3,3,7,3,0,3,0,2,0,0.804
1,2,0,4,5,0,3,0,10,2,0.6462
0,8,2,10,10,0,1,3,9,0,0.8156
2,3,0,5,9,10,3,1,6,0,0.6851
7,9,0,6,10,10,0,8,6,0,0.7088000000000001
8,3,0,9,10,10,1,7,7,8,0.9827
10,10,0,0,5,2,3,4,5,0,0.5601
6,10,10,0,9,10,10,4,7,3,0.9101
0,8,10,3,10,0,0,7,6,5,0.9508
3,5,0,1,10,4,0,7,4,0,0.6249
9,6,0,2,10,0,3,4,8,2,0.6189
9,1,10,2,0,0,10,8,5,6,0.9995
0,3,0,0,1,1,3,1,2,0,0.5488
7,1,1,1,0,2,0,7,1,0,0.9894000000000001
4,0,0,0,10,5,2,3,10,0,0.6202000000000001
0,5,0,0,4,0,6,2,3,0,0.6916
7,9,0,0,10,8,6,6,2,0,0.6704
7,5,1,5,2,10,10,7,1,0,0.7142999999999999
8,3,5,10,9,10,10,8,3,0,0.8652
0,2,10,8,9,8,0,10,8,10,0.9978
6,8,0,5,6,10,7,8,9,0,0.6816
